"car_name","make","year","car_type","stock_class","stock_pi","drivetrain_stock","recommended_preset","primary_roles","upgrade_order","required_adjustable_parts","optional_parts","avoid","tune_sections","data_needed_for_exact_tune","risk_flags","ai_notes","confidence"
"1990 Alfa Romeo SE 048SP","Alfa Romeo","1990","Retro Racers","R","978","RWD","road_high_grip","leaderboard_benchmark;track_day_or_rivals","semi-slick/slick > aero if technical > race brakes > race suspension > diff > weight > power","race_springs;race_diff;race_brakes","adjustable aero;race transmission","stock tires;no aero on technical high-speed","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs;check_dlc_or_addon_access;meta_signal_not_fun_default","High class magnifies aero and braking mistakes","derived_from_car_archetype_and_build_preset"
"1992 Alfa Romeo 155 Q4","Alfa Romeo","1992","Retro Super Saloons","C","439","AWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2007 Alfa Romeo 8C Competizione","Alfa Romeo","2007","GT Cars","A","635","RWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2014 Alfa Romeo 4C","Alfa Romeo","2014","Modern Sports Cars","A","644","RWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2017 Alfa Romeo Giulia Quadrifoglio","Alfa Romeo","2017","Modern Super Saloons","A","667","RWD","weekly_allround_required","leaderboard_benchmark","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs;meta_signal_not_fun_default","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2021 Alfa Romeo Giulia GTAm","Alfa Romeo","2021","Modern Super Saloons","S1","717","RWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs;check_dlc_or_addon_access","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2015 Alumicraft Class 10 Race Car","Alumicraft","2015","Unlimited Buggies","B","532","RWD","weekly_allround_required","leaderboard_benchmark","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs;meta_signal_not_fun_default","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2021 Alumicraft #122 Class 1 Buggy","Alumicraft","2021","Unlimited Buggies","B","571","RWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2022 Alumicraft #6165 Trick Truck","Alumicraft","2022","Unlimited Offroad","C","485","RWD","cross_country_a_s1","cross_country_or_rough_route","off-road race tire > raised suspension > AWD > soft bump > power > stability gearing","offroad_suspension;race_diff","wide tires;roll-cage look/livery","low ride height;road cars unless route mild","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs","Landings and bumps decide the event","derived_from_car_archetype_and_build_preset"
"2554 AMG Transport Dynamics M12S Warthog CST","AMG Transport Dynamics","2554","Unlimited Offroad","A","663","AWD","cross_country_a_s1","cross_country_or_rough_route","off-road race tire > raised suspension > AWD > soft bump > power > stability gearing","offroad_suspension;race_diff","wide tires;roll-cage look/livery","low ride height;road cars unless route mild","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs","Landings and bumps decide the event","derived_from_car_archetype_and_build_preset"
"2019 Apollo Intensa Emozione","Apollo","2019","Extreme Track Toys","R","916","RWD","road_high_grip","leaderboard_benchmark;track_day_or_rivals","semi-slick/slick > aero if technical > race brakes > race suspension > diff > weight > power","race_springs;race_diff;race_brakes","adjustable aero;race transmission","stock tires;no aero on technical high-speed","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs;check_availability_currently;meta_signal_not_fun_default","High class magnifies aero and braking mistakes","derived_from_car_archetype_and_build_preset"
"2013 Ariel Atom 500 V8","Ariel","2013","Extreme Track Toys","S2","825","RWD","road_high_grip","track_day_or_rivals","semi-slick/slick > aero if technical > race brakes > race suspension > diff > weight > power","race_springs;race_diff;race_brakes","adjustable aero;race transmission","stock tires;no aero on technical high-speed","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs","High class magnifies aero and braking mistakes","derived_from_car_archetype_and_build_preset"
"2016 Ariel Nomad","Ariel","2016","Unlimited Buggies","A","601","RWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"1964 Aston Martin DB5","Aston Martin","1964","Rare Classics","C","416","RWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2016 Aston Martin Vulcan","Aston Martin","2016","Extreme Track Toys","S2","884","RWD","road_high_grip","track_day_or_rivals","semi-slick/slick > aero if technical > race brakes > race suspension > diff > weight > power","race_springs;race_diff;race_brakes","adjustable aero;race transmission","stock tires;no aero on technical high-speed","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs","High class magnifies aero and braking mistakes","derived_from_car_archetype_and_build_preset"
"2017 Aston Martin DB11","Aston Martin","2017","Super GT","A","679","RWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2017 Aston Martin Vulcan AMR Pro","Aston Martin","2017","Extreme Track Toys","S2","898","RWD","road_high_grip","track_day_or_rivals","semi-slick/slick > aero if technical > race brakes > race suspension > diff > weight > power","race_springs;race_diff;race_brakes","adjustable aero;race transmission","stock tires;no aero on technical high-speed","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs","High class magnifies aero and braking mistakes","derived_from_car_archetype_and_build_preset"
"2019 Aston Martin DBS Superleggera","Aston Martin","2019","Super GT","S1","736","RWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs;check_availability_currently","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2019 Aston Martin Valhalla Concept Car","Aston Martin","2019","Hypercars","R","960","AWD","road_high_grip","general_event_candidate","semi-slick/slick > aero if technical > race brakes > race suspension > diff > weight > power","race_springs;race_diff;race_brakes","adjustable aero;race transmission","stock tires;no aero on technical high-speed","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs;check_availability_currently","High class magnifies aero and braking mistakes","derived_from_car_archetype_and_build_preset"
"2019 Aston Martin Vantage","Aston Martin","2019","GT Cars","A","696","RWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2021 Aston Martin DBX","Aston Martin","2021","Sports Utility Heroes","A","618","AWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs;check_availability_currently","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2022 Aston Martin Valkyrie AMR Pro","Aston Martin","2022","Extreme Track Toys","R","989","RWD","road_high_grip","track_day_or_rivals","semi-slick/slick > aero if technical > race brakes > race suspension > diff > weight > power","race_springs;race_diff;race_brakes","adjustable aero;race transmission","stock tires;no aero on technical high-speed","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs","High class magnifies aero and braking mistakes","derived_from_car_archetype_and_build_preset"
"2023 Aston Martin Valkyrie","Aston Martin","2023","Hypercars","R","924","RWD","road_high_grip","general_event_candidate","semi-slick/slick > aero if technical > race brakes > race suspension > diff > weight > power","race_springs;race_diff;race_brakes","adjustable aero;race transmission","stock tires;no aero on technical high-speed","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs","High class magnifies aero and braking mistakes","derived_from_car_archetype_and_build_preset"
"1984 Audi Sport quattro","Audi","1984","Retro Rally","B","526","AWD","rally_b_a","rally_build","rally tire > rally suspension > ride height > weight > diff > moderate power > final drive","rally_suspension;race_diff","rally transmission;mudflaps/livery","slicks;slammed suspension;stiff bump","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs;check_availability_currently","Compliance and traction beat road-racing stiffness","derived_from_car_archetype_and_build_preset"
"1986 Audi #2 Audi Sport quattro S1","Audi","1986","Rally Monsters","S1","726","AWD","rally_b_a","leaderboard_benchmark;touge_or_drift_project;rally_build","rally tire > rally suspension > ride height > weight > diff > moderate power > final drive","rally_suspension;race_diff","rally transmission;mudflaps/livery","slicks;slammed suspension;stiff bump","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs;meta_signal_not_fun_default","Compliance and traction beat road-racing stiffness","derived_from_car_archetype_and_build_preset"
"2001 Audi RS 4 Avant","Audi","2001","Retro Super Saloons","B","544","AWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2003 Audi RS 6","Audi","2003","Retro Super Saloons","B","556","AWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2006 Audi RS 4","Audi","2006","Modern Super Saloons","B","593","AWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2009 Audi R8 LMS","Audi","2009","Extreme Track Toys","S2","810","AWD","road_high_grip","track_day_or_rivals","semi-slick/slick > aero if technical > race brakes > race suspension > diff > weight > power","race_springs;race_diff;race_brakes","adjustable aero;race transmission","stock tires;no aero on technical high-speed","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs","High class magnifies aero and braking mistakes","derived_from_car_archetype_and_build_preset"
"2009 Audi RS 6","Audi","2009","Modern Super Saloons","B","598","AWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2010 Audi TT RS Coup̩","Audi","2010","Modern Sports Cars","B","593","AWD","weekly_allround_required","leaderboard_benchmark","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs;meta_signal_not_fun_default","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2011 Audi RS 3 Sportback","Audi","2011","Super Hot Hatch","B","565","AWD","road_low_class_momentum","leaderboard_benchmark;low_class_momentum","weight reduction > final drive/transmission if bad > street tire only if needed > brakes if weak > mild power","final_drive_or_transmission;front/rear ARB if available","sport brakes;street tire","race slicks;heavy aero;huge engine swaps","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs;meta_signal_not_fun_default","Keep PI efficient; do not destroy momentum with tire overspend","derived_from_car_archetype_and_build_preset"
"2011 Audi RS 5 Coup̩","Audi","2011","Modern Super Saloons","A","613","AWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2013 Audi R8 Coup̩ V10 plus 5.2 FSI quattro","Audi","2013","Modern Supercars","A","694","","road_high_grip","leaderboard_benchmark","semi-slick/slick > aero if technical > race brakes > race suspension > diff > weight > power","race_springs;race_diff;race_brakes","adjustable aero;race transmission","stock tires;no aero on technical high-speed","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts; spring_slider_ranges; ride_height_ranges","needs_in_game_weight_for_exact_springs;drivetrain_missing_from_tunelab;check_availability_currently;meta_signal_not_fun_default","High class magnifies aero and braking mistakes","derived_from_car_archetype_and_build_preset"
"2013 Audi RS 4 Avant","Audi","2013","Modern Super Saloons","A","607","AWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
"2013 Audi RS 7 Sportback","Audi","2013","Modern Super Saloons","A","619","AWD","weekly_allround_required","general_event_candidate","hardest step tire choice > tuneable diff > suspension/ARB if handling task > weight > power for speed task > gearing only if needed","diff;suspension if tune requested","paint/livery theme;transmission","community tune as first answer;reward car for same championship","tires;gearing;alignment;anti_roll_bars;springs;ride_height;damping;aero;brakes;differential","power; torque; weight; front_weight_percent; tire_compound; tire_widths; installed_adjustable_parts","needs_in_game_weight_for_exact_springs","Build to clear all tasks in one car; label compromises","derived_from_car_archetype_and_build_preset"
